code,term
1239431000000107,Cancer safety netting
139840001,Suspected malignancy
162572001,Suspected malignancy
199251000000107,Fast track cancer referral
214671000000104,Fast track cancer referral
214681000000102,Fast track cancer referral
247591000000101,Suspected pancreatic cancer
276551000000108,Fast track referral for suspected upper gastrointestinal cancer
288261000000100,Fast track cancer referral
292461000000104,Fast track cancer referral
315273002,Suspected upper gastrointestinal cancer
382761000000101,Seen in fast track suspected cancer clinic
382771000000108,Seen in fast track suspected cancer clinic 
382781000000105,Seen in fast track suspected cancer clinic 
382811000000108,Seen in fast track suspected upper gastrointestinal cancer clinic
382821000000102,Seen in fast track suspected upper gastrointestinal cancer clinic 
382831000000100,Seen in fast track suspected upper gastrointestinal cancer clinic 
868252007,Malignant neoplasm of gastrointestinal tract suspected
978821000000103,Discussion about suspected cancer
990821000000107,Discussion about suspected cancer
