code,term
1000471000000102,Serum carcinoembryonic antigen level
1026701000000107,Carcinoembryonic antigen level
1106441000000100,Mass concentration of carcinoembryonic antigen in plasma
1106451000000102,Mass concentration of carcinoembryonic antigen in serum
144296000,Carcinoembryonic antigen: (& level)
167055008,Carcinoembryonic antigen level
167056009,Carcinoembryonic antigen absent
167057000,Carcinoembryonic antigen present
270010003,Carcinoembryonic antigen: (& level)
441852006,Measurement of carcinoembryonic antigen in body fluid specimen
445201008,Carcinoembryonic antigen above reference range
60267001,Carcinoembryonic antigen measurement
67246004,Carcinoembryonic antigen
700413007,Carcinoembryonic antigen monitoring
887351000000103,Carcinoembryonic antigen monitoring
887361000000100,Carcinoembryonic antigen monitoring 
908961000000105,Measurement of carcinoembryonic antigen in serum specimen
908971000000103,Serum carcinoembryonic antigen level 
